,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Walter Payton*+,CHI,RB,23,14,14,0,0,0,0,0,339,1852,5.46,14,27,269,9.96,2,11,,16,,,308,324.1,335.6,310.6,217,1,1,
2,Lydell Mitchell *,BAL,RB,28,14,14,0,0,0,0,0,301,1159,3.85,3,71,620,8.73,4,5,,7,,,220,285.9,294.4,250.4,116,2,2,
3,Nat Moore*+,MIA,WR,26,14,14,0,0,0,0,0,14,89,6.36,1,52,765,14.71,12,0,,13,,,163,215.4,218.4,189.4,108,1,3,
4,Tony Dorsett,DAL,RB,23,14,4,1,1,34,0,0,208,1007,4.84,12,29,273,9.41,1,7,,13,,,207,229.4,238.9,214.9,101,3,4,
5,Lawrence McCutcheon*,RAM,RB,27,14,14,0,0,0,0,0,294,1238,4.21,7,25,274,10.96,2,6,,9,,,205,224.2,233.2,211.7,99,4,5,
6,Chuck Foreman*,MIN,RB,27,14,14,0,0,0,0,0,270,1112,4.12,6,38,308,8.11,3,9,,9,,,196,225.0,235.5,206.0,88,5,6,
7,Roger Staubach*,DAL,QB,35,14,14,210,361,2620,18,9,51,171,3.35,3,0,0,,0,8,,3,,,194,185.9,204.9,194.9,88,1,7,
8,Greg Pruitt*,CLE,RB,26,14,14,4,9,28,3,0,236,1086,4.60,3,37,471,12.73,1,8,,4,,,193,221.8,231.8,203.3,85,6,8,
9,Franco Harris*+,PIT,RB,27,14,14,0,0,0,0,0,300,1162,3.87,11,11,62,5.64,0,10,,11,,,188,189.4,197.4,183.9,80,7,9,
10,Mark van Eeghen,OAK,RB,25,14,14,0,0,0,0,0,324,1273,3.93,7,15,135,9.00,0,3,,7,,,183,194.8,202.3,187.3,73,8,10,
11,Bert Jones,BAL,QB,26,14,14,224,393,2686,17,11,28,146,5.21,2,0,0,,0,2,,2,,,180,178.0,196.0,189.0,72,2,11,
12,Ken Burrough*,HOU,WR,29,14,14,0,1,0,0,0,4,10,2.50,0,43,816,18.98,8,4,,8,,,131,169.6,174.6,148.1,71,2,12,
13,Sammy White*,MIN,WR,23,14,14,0,0,0,0,0,0,0,,0,41,760,18.54,9,2,,9,,,130,169.0,173.0,148.5,70,3,13,
14,John Stallworth,PIT,WR,25,14,14,0,0,0,0,0,6,47,7.83,0,44,784,17.82,7,1,,7,,,125,168.1,171.6,146.1,65,4,14,
15,Steve Largent,SEA,WR,23,14,14,0,0,0,0,0,0,0,,0,33,643,19.48,10,0,,10,,,124,157.3,160.3,140.8,64,5,15,
16,Lynn Swann*,PIT,WR,25,14,14,0,0,0,0,0,2,6,3.00,0,50,789,15.78,7,1,,7,,,122,170.5,174.0,145.5,60,6,16,
17,Sam Cunningham,NWE,RB,27,14,14,0,0,0,0,0,270,1015,3.76,4,42,370,8.81,1,10,,5,,,169,200.5,211.5,179.5,57,9,17,
18,Terry Bradshaw,PIT,QB,29,14,14,162,314,2523,17,19,31,171,5.52,3,0,0,,0,10,,3,,,166,156.0,186.0,175.0,56,3,18,
19,Henry Childs,NOR,TE,26,13,10,0,0,0,0,0,0,0,,0,33,518,15.70,9,0,,9,,,106,138.8,141.8,122.3,55,1,19,
20,Delvin Williams,SFO,RB,26,14,14,0,1,0,0,1,268,931,3.47,7,20,179,8.95,2,3,,9,,,163,180.0,188.5,171.0,51,10,20,
21,Ron Jaworski,PHI,QB,26,14,14,166,346,2183,18,21,40,127,3.18,5,0,0,,0,6,,5,,,160,154.0,184.0,175.0,50,4,21,
22,Harold Carmichael,PHI,WR,28,14,14,0,0,0,0,0,0,0,,0,46,665,14.46,7,0,,7,,,109,154.5,157.5,131.5,46,7,22,
23,Walter White,KAN,TE,26,13,12,0,0,0,0,0,2,-3,-1.50,0,48,674,14.04,5,1,,5,,,97,144.1,147.6,120.1,45,2,23,
24,Mel Gray*,STL,WR,29,14,14,0,0,0,0,0,1,-1,-1.00,0,38,782,20.58,5,0,,5,,,108,146.1,149.1,127.1,45,8,24,
25,Bob Griese*+,MIA,QB,32,14,14,180,307,2252,22,13,16,30,1.88,0,0,0,,0,6,,0,,,155,149.1,168.1,162.1,44,5,25,
26,Craig Morton,DEN,QB,34,14,14,131,254,1929,14,8,31,125,4.03,4,0,0,,0,7,,4,,,154,146.7,164.2,154.7,42,6,26,
27,Dave Casper*+,OAK,TE,25,14,14,0,0,0,0,0,0,0,,0,48,584,12.17,6,1,,6,,,94,141.4,144.9,117.4,42,3,27,
28,Darryl Stingley,NWE,WR,26,14,14,0,0,0,0,0,3,33,11.00,1,39,657,16.85,5,0,,6,,,105,144.0,147.0,124.5,42,9,28,
29,Sherman Smith,SEA,RB,23,14,14,0,1,0,0,0,163,763,4.68,4,30,419,13.97,2,6,,6,,,154,178.2,187.2,163.2,41,11,29,
30,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
31,Jean Fugett*,WAS,TE,26,14,14,0,0,0,0,0,0,0,,0,36,631,17.53,5,1,,5,,,93,128.1,131.6,110.1,41,4,30,
32,Joe Ferguson,BUF,QB,27,14,14,221,457,2803,12,24,41,279,6.80,2,0,0,,0,12,,2,,,152,140.0,176.0,164.0,40,7,31,
