Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Eric Dickerson*+,RAM,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,390.0,1808.0,4.64,18.0,51.0,404.0,7.92,2.0,13.0,,20.0,0.0,0.0,341.0,379.2,391.7,353.7,191.0,1.0,,1983,0.0
William Andrews*,ATL,RB,28.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,331.0,1567.0,4.73,7.0,59.0,609.0,10.32,4.0,6.0,,11.0,0.0,0.0,284.0,336.6,345.6,307.1,133.0,2.0,,1983,0.0
John Riggins+,WAS,RB,34.0,15.0,15.0,0.0,1.0,0.0,0.0,0.0,375.0,1347.0,3.59,24.0,5.0,29.0,5.8,0.0,5.0,,24.0,0.0,0.0,282.0,281.6,287.1,279.1,131.0,3.0,,1983,0.0
Todd Christensen*+,RAI,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1247.0,13.55,12.0,1.0,,12.0,0.0,0.0,197.0,287.7,291.2,241.7,130.0,1.0,,1983,0.0
Mike Quick*+,PHI,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1409.0,20.42,13.0,1.0,,13.0,0.0,0.0,219.0,286.9,290.4,252.4,130.0,1.0,,1983,0.0
Roy Green*+,STL,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,49.0,12.25,0.0,78.0,1227.0,15.73,14.0,3.0,,14.0,0.0,0.0,212.0,286.6,291.1,247.6,123.0,2.0,,1983,0.0
Walter Payton*,CHI,RB,29.0,16.0,16.0,3.0,6.0,95.0,3.0,2.0,314.0,1421.0,4.53,6.0,53.0,607.0,11.45,2.0,5.0,,8.0,0.0,0.0,263.0,310.6,321.1,286.1,112.0,4.0,,1983,0.0
Curt Warner*,SEA,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,335.0,1449.0,4.33,13.0,42.0,325.0,7.74,1.0,6.0,,14.0,0.0,0.0,261.0,297.4,306.4,276.4,111.0,5.0,,1983,0.0
Joe Montana*,SFO,QB,27.0,16.0,16.0,332.0,515.0,3910.0,26.0,12.0,61.0,284.0,4.66,2.0,0.0,0.0,0.0,0.0,3.0,,2.0,0.0,0.0,277.0,273.8,293.3,285.8,102.0,1.0,,1983,0.0
Kellen Winslow*,SDG,TE,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1172.0,13.32,8.0,3.0,,8.0,0.0,0.0,165.0,250.2,254.7,206.2,99.0,2.0,,1983,0.0
Joe Theismann*+,WAS,QB,34.0,16.0,16.0,276.0,459.0,3714.0,29.0,11.0,37.0,234.0,6.32,1.0,0.0,0.0,0.0,0.0,1.0,,1.0,0.0,0.0,272.0,271.0,288.5,282.0,97.0,2.0,,1983,0.0
