Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Terrell Davis *+,DEN,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,392.0,2008.0,5.12,21.0,38.0,25.0,217.0,8.68,2.0,2.0,2.0,23.0,0.0,0.0,361.0,381.5,389.5,369.0,233.0,1.0,,1998
Jamal Anderson *+,ATL,RB,26.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,410.0,1846.0,4.5,14.0,46.0,27.0,319.0,11.81,2.0,5.0,2.0,16.0,1.0,0.0,315.0,337.5,345.5,324.0,187.0,2.0,,1998
Steve Young*,SFO,QB,37.0,15.0,15.0,322.0,517.0,4170.0,36.0,12.0,70.0,454.0,6.49,6.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,6.0,0.0,4.0,376.0,364.2,388.2,376.2,179.0,1.0,,1998
Marshall Faulk*,IND,RB,25.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,324.0,1319.0,4.07,6.0,106.0,86.0,908.0,10.56,4.0,3.0,2.0,10.0,0.0,0.0,283.0,364.7,372.7,321.7,155.0,3.0,,1998
Garrison Hearst*,SFO,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,310.0,1570.0,5.06,7.0,56.0,39.0,535.0,13.72,2.0,4.0,3.0,9.0,1.0,0.0,267.0,299.5,308.5,280.0,139.0,4.0,,1998
Fred Taylor,JAX,RB,22.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,264.0,1223.0,4.63,14.0,53.0,44.0,421.0,9.57,3.0,3.0,2.0,17.0,0.0,0.0,266.0,306.4,314.4,284.4,139.0,5.0,,1998
Randy Moss*+,MIN,WR,21.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,124.0,69.0,1313.0,19.03,17.0,2.0,,17.0,2.0,0.0,238.0,306.7,309.7,272.2,115.0,1.0,,1998
Emmitt Smith*,DAL,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,319.0,1332.0,4.18,13.0,32.0,27.0,175.0,6.48,2.0,3.0,2.0,15.0,0.0,0.0,241.0,263.7,271.7,250.2,113.0,6.0,,1998
Antonio Freeman *+,GNB,WR,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.67,0.0,153.0,84.0,1424.0,16.95,14.0,0.0,,14.0,1.0,0.0,229.0,312.9,315.9,270.9,106.0,2.0,,1998
Ricky Watters,SEA,RB,29.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,319.0,1239.0,3.88,9.0,73.0,52.0,373.0,7.17,0.0,4.0,2.0,9.0,1.0,0.0,221.0,269.2,277.2,243.2,94.0,7.0,,1998
