,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Marshall Faulk*+,STL,RB,27,14,14,0,0,0,0,0,253,1359,5.37,18,113,81,830,10.25,8,0,,26,2,,381,459.9,465.9,419.4,228,1,1,
2,Edgerrin James*,IND,RB,22,16,16,0,0,0,0,0,387,1709,4.42,13,87,63,594,9.43,5,5,4,18,1,,340,395.3,405.3,363.8,188,2,2,
3,Daunte Culpepper*,MIN,QB,23,16,16,297,474,3937,33,16,89,470,5.28,7,0,0,0,,0,11,6,7,,2,350,338.5,366.5,354.5,149,1,3,
4,Jeff Garcia*,SFO,QB,30,16,16,355,561,4278,31,10,72,414,5.75,4,0,0,0,,0,7,1,4,,1,343,340.5,357.5,350.5,141,2,4,
5,Eddie George*+,TEN,RB,27,16,16,0,0,0,0,0,403,1509,3.74,14,65,50,453,9.06,2,5,4,16,,,292,334.2,344.2,309.2,140,3,5,
6,Randy Moss*+,MIN,WR,23,16,16,0,0,0,0,0,3,5,1.67,0,129,77,1437,18.66,15,2,,15,1,,236,313.2,316.2,274.7,125,1,6,
7,Tony Gonzalez*+,KAN,TE,24,16,16,0,0,0,0,0,0,0,,0,150,93,1203,12.94,9,0,,9,,,174,267.3,270.3,220.8,116,1,7,
8,Terrell Owens*+,SFO,WR,27,14,13,0,0,0,0,0,3,11,3.67,0,146,97,1451,14.96,13,3,1,13,1,,226,321.2,325.2,272.7,115,2,8,
9,Marvin Harrison*,IND,WR,28,16,16,0,0,0,0,0,0,0,,0,169,102,1413,13.85,14,2,,14,,,225,327.3,330.3,276.3,114,3,9,
10,Rod Smith*,DEN,WR,30,16,16,0,0,0,0,0,6,99,16.50,1,173,100,1602,16.02,8,1,1,9,,,224,322.1,326.1,272.1,113,4,10,
11,Mike Anderson,DEN,RB,27,16,12,0,0,0,0,0,297,1487,5.01,15,32,23,169,7.35,0,4,4,15,1,,258,272.6,282.6,261.1,105,4,11,
12,Rich Gannon*+,OAK,QB,35,16,16,284,473,3430,28,11,89,529,5.94,4,0,0,0,,0,9,5,4,1,,306,296.1,318.1,307.1,105,3,12,
13,Ahman Green,GNB,RB,23,16,11,0,1,0,0,0,263,1175,4.47,10,99,73,559,7.66,3,6,4,13,,,251,316.4,326.4,279.9,99,5,13,
14,Peyton Manning*,IND,QB,24,16,16,357,571,4413,33,15,37,116,3.14,1,0,0,0,,0,5,3,1,,2,300,294.1,318.1,309.1,99,4,14,
15,Fred Taylor,JAX,RB,24,13,13,0,0,0,0,0,292,1399,4.79,12,53,36,240,6.67,2,4,2,14,,,248,279.9,287.9,261.9,95,6,15,
16,Robert Smith*,MIN,RB,28,16,16,0,0,0,0,0,295,1521,5.16,7,44,36,348,9.67,3,4,1,10,,,247,280.9,287.9,262.9,94,7,16,
17,Jamal Lewis,BAL,WR,21,16,13,0,0,0,0,0,309,1364,4.41,6,36,27,296,10.96,0,6,2,6,1,,204,227.0,235.0,213.5,93,5,17,
18,Derrick Alexander,KAN,WR,29,16,16,0,0,0,0,0,3,45,15.00,0,144,78,1391,17.83,10,0,,10,,,204,281.6,284.6,242.6,93,6,18,
19,Donovan McNabb*,PHI,QB,24,16,16,330,569,3365,21,13,86,629,7.31,6,4,2,5,2.50,0,7,4,6,,1,294,288.0,311.0,300.0,93,5,19,
20,Isaac Bruce*,STL,WR,28,16,16,0,0,0,0,0,1,11,11.00,0,135,87,1471,16.91,9,1,1,9,,,202,287.2,291.2,243.7,91,7,20,
21,Curtis Martin,NYJ,RB,27,16,16,1,1,18,1,0,316,1204,3.81,9,96,70,508,7.26,2,2,2,11,,,242,307.9,315.9,272.9,89,8,21,
22,Torry Holt*,STL,WR,24,16,15,0,0,0,0,0,2,7,3.50,0,139,82,1635,19.94,6,2,2,6,,,200,278.2,283.2,237.2,89,8,22,
23,Ricky Watters,SEA,RB,31,16,16,0,0,0,0,0,278,1242,4.47,7,92,63,613,9.73,2,5,2,9,,,240,298.5,306.5,267.0,87,9,23,
24,Charlie Garner*,SFO,RB,28,16,15,0,0,0,0,0,258,1142,4.43,7,94,68,647,9.51,3,4,3,10,,,239,300.9,309.9,266.9,86,10,24,
25,Lamar Smith,MIA,RB,30,15,15,0,1,0,0,0,309,1139,3.69,14,38,31,201,6.48,2,3,3,16,,,230,255.0,264.0,239.5,78,11,25,
26,Ed McCaffrey,DEN,WR,32,16,16,0,0,0,0,0,0,0,,0,149,101,1317,13.04,9,0,,9,1,,188,288.7,291.7,238.2,77,9,26,
27,Stephen Davis *,WAS,RB,26,15,15,0,0,0,0,0,332,1318,3.97,11,49,33,313,9.48,0,4,4,11,,,229,254.1,264.1,237.6,77,12,27,
28,Tiki Barber,NYG,RB,25,16,12,0,0,0,0,0,213,1006,4.72,8,95,70,719,10.27,1,9,3,9,,,227,290.5,299.5,255.5,74,13,28,
29,Joe Horn*,NOR,WR,28,16,16,0,0,0,0,0,6,10,1.67,0,151,94,1340,14.26,8,1,,8,,,183,277.0,280.0,230.0,72,10,29,
30,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
31,Cris Carter *,MIN,WR,35,16,16,0,0,0,0,0,0,0,,0,161,96,1274,13.27,9,3,1,9,,,181,275.4,279.4,227.4,71,11,30,
32,Tim Brown,OAK,WR,34,16,16,0,0,0,0,0,3,12,4.00,0,133,76,1128,14.84,11,0,,11,,,180,256.0,259.0,218.0,69,12,31,
33,Elvis Grbac*,KAN,QB,30,15,15,326,547,4169,28,14,30,110,3.67,1,0,0,0,,0,7,3,1,,,268,261.8,284.8,275.8,66,6,32,
34,James Stewart,DET,RB,29,16,16,0,0,0,0,0,339,1184,3.49,10,48,32,287,8.97,1,4,2,11,2,,217,245.1,253.1,229.1,65,14,33,
35,Jimmy Smith*,JAX,WR,31,15,14,0,0,0,0,0,0,0,,0,145,91,1213,13.33,8,1,,8,,,169,260.3,263.3,214.8,58,13,34,
36,Warrick Dunn*,TAM,RB,25,16,14,0,0,0,0,0,248,1133,4.57,8,69,44,422,9.59,1,1,1,9,,,210,251.5,258.5,229.5,57,15,35,
37,Amani Toomer,NYG,WR,26,16,14,0,0,0,0,0,5,91,18.20,1,124,78,1094,14.03,7,1,1,8,,,167,242.5,246.5,203.5,56,14,36,
38,Eric Moulds*,BUF,WR,27,16,16,0,0,0,0,0,2,24,12.00,0,164,94,1326,14.11,5,1,,5,,,165,259.0,262.0,212.0,54,15,37,
39,Shannon Sharpe,BAL,TE,32,16,15,0,0,0,0,0,0,0,,0,105,67,810,12.09,5,0,,5,,,111,178.0,181.0,144.5,53,2,38,
40,Corey Dillon*,CIN,RB,26,16,16,0,0,0,0,0,315,1435,4.56,7,26,18,158,8.78,0,4,3,7,,,201,213.3,222.3,204.3,49,16,39,
41,Freddie Jones,SDG,TE,26,16,16,0,0,0,0,0,0,0,,0,126,71,766,10.79,5,3,2,5,,,107,173.6,178.6,138.1,48,3,40,
42,David Boston,ARI,WR,22,16,16,0,0,0,0,0,3,9,3.00,0,133,71,1156,16.28,7,2,1,7,,,159,227.5,231.5,192.0,48,16,41,
43,Muhsin Muhammad,CAR,WR,27,16,16,0,0,0,0,0,2,12,6.00,0,156,102,1183,11.60,6,1,,6,,,156,257.5,260.5,206.5,45,17,42,
44,Ricky Williams,NOR,RB,23,10,10,1,1,34,0,0,248,1000,4.03,8,55,44,409,9.30,1,6,3,9,,,196,234.3,243.3,212.3,44,17,43,
45,Keenan McCardell,JAX,WR,30,16,16,0,0,0,0,0,0,0,,0,140,94,1207,12.84,5,3,3,5,,,151,238.7,244.7,191.7,40,18,44,
46,Jerome Bettis,PIT,RB,28,16,16,0,2,0,0,1,355,1341,3.78,8,19,13,97,7.46,0,1,,8,,,190,202.8,206.8,197.3,37,18,45,
47,Frank Wycheck*,TEN,TE,29,16,16,2,2,53,1,0,0,0,,0,109,70,636,9.09,4,2,3,4,,,94,157.7,163.7,122.7,35,4,46,
48,Antonio Freeman,GNB,WR,28,15,15,0,0,0,0,0,2,5,2.50,0,120,62,912,14.71,9,1,1,9,,,146,205.7,209.7,174.7,35,19,47,
49,Kyle Brady,JAX,TE,28,16,15,0,0,0,0,0,0,0,,0,94,64,729,11.39,3,0,,3,1,,93,156.9,159.9,124.9,35,5,48,
50,Mark Brunell,JAX,QB,30,16,16,311,512,3640,20,14,48,236,4.92,2,0,0,0,,0,7,4,2,,1,235,227.2,251.2,241.2,34,7,49,
51,Chad Lewis*,PHI,TE,29,16,16,0,0,0,0,0,0,0,,0,110,69,735,10.65,3,0,,3,,,92,160.5,163.5,126.0,33,6,50,
52,Wayne Chrebet,NYJ,WR,27,16,16,0,0,0,0,0,3,-3,-1.00,0,143,69,937,13.58,8,0,,8,,,141,210.4,213.4,175.9,31,20,51,
53,Emmitt Smith,DAL,RB,31,16,16,0,0,0,0,0,294,1203,4.09,9,14,11,79,7.18,0,6,5,9,,,182,183.2,191.2,177.7,30,19,52,
54,Tyrone Wheatley,OAK,RB,28,14,13,0,0,0,0,0,232,1046,4.51,9,34,20,156,7.80,1,4,3,10,,,180,194.2,203.2,184.2,28,20,53,
55,Jamal Anderson,ATL,RB,28,16,16,0,0,0,0,0,282,1024,3.63,6,58,42,382,9.10,0,6,4,6,1,,179,212.6,222.6,191.6,26,21,54,
56,Terry Glenn,NWE,WR,26,16,16,0,0,0,0,0,4,39,9.75,0,163,79,963,12.19,6,0,,6,,,136,215.2,218.2,175.7,25,21,55,
57,Keyshawn Johnson,TAM,WR,28,16,16,0,0,0,0,0,2,5,2.50,0,122,71,874,12.31,8,2,2,8,,,136,202.9,207.9,167.4,25,22,56,
58,Shaun King,TAM,QB,23,16,16,233,428,2769,18,13,73,353,4.84,5,0,0,0,,0,4,1,5,1,,222,222.1,242.1,235.1,21,8,57,
